term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),5.900390457494422,0.008133216356150842,725.4682771388691,0,5.884448538375499,5.916332376613345
total_stats_z,0.7037759930551407,0.004354582126421016,161.6173429788007,0,0.6952405756979457,0.7123114104123357
age_z,-0.20003143683557773,0.0028281846418917755,-70.72785626251633,0,-0.2055749621569374,-0.19448791151421804
preferred_footLeft,-0.02865581244038183,0.005905330675775688,-4.852533077941105,1.2294939163548528e-6,-0.040230852360783644,-0.01708077251998002
weak_foot_rating.L,0.10886767797666493,0.021384016393032092,5.091077184739677,3.59745289918781e-7,0.06695286287185957,0.1507824930814703
weak_foot_rating.Q,0.019607156546689264,0.01786720637366897,1.0973823292030964,0.27248946769678156,-0.015414358487117086,0.054628671580495614
weak_foot_rating.C,0.037923469587021766,0.011690408108790048,3.2439816672017647,0.0011809352300272695,0.015009098153069937,0.060837841020973595
weak_foot_rating^4,-0.02845249069411823,0.0060680972824597584,-4.688865285064242,2.768071141075412e-6,-0.040346569475087996,-0.01655841191314846
position_groupMidfield,-0.13812117724247094,0.006510766143437326,-21.214274050019952,1.2449775834035038e-98,-0.1508829313525045,-0.1253594231324374
position_groupDefense,0.16465747757768184,0.006813108260133151,24.16774712669308,5.9465027645460715e-127,0.15130310262005905,0.17801185253530463
position_groupGK,1.3828949619612052,0.013600290716481733,101.68127952480616,0,1.3562370292195018,1.4095528947029086
