term,estimate,std.error,statistic,p.value,conf.low,conf.high
Foot: Left,0.014336325277393149,0.011082419736137016,1.2936096645614275,0.19581744245204472,-0.007386328277447543,0.03605897883223384
Weak foot: .L,0.10993095416189483,0.021331103698281895,5.153552095419665,2.5839118681760304e-7,0.06811985274067449,0.15174205558311515
Weak foot: .Q,0.01860694366543804,0.017823796779000242,1.0439382751132178,0.29652844125862926,-0.016329484630957333,0.05354337196183341
Weak foot: .C,0.03890779394395126,0.011664645427391254,3.3355316444156,8.531439407237514e-4,0.016043919673511504,0.06177166821439102
Weak foot: ^4,-0.02871100050030627,0.006053276960166871,-4.743050861415532,2.1219210065244592e-6,-0.04057603010647047,-0.016845970894142068
Foot: Left:position_groupMidfield,-0.011914205181550563,0.015193724583436244,-0.7841530308203087,0.43296098868559285,-0.04169542834326201,0.017867017980160885
Foot: Left:position_groupDefense,-0.11874898856422343,0.014804590012092859,-8.021092679177572,1.114141089589703e-15,-0.14776746896029674,-0.08973050816815012
Foot: Left:position_groupGK,0.030407490486262515,0.025845708499872232,1.1765005585516386,0.2394109930537041,-0.020252688877944226,0.08106766985046926
