term,estimate,std.error,statistic,p.value,conf.low,conf.high
total_stats_z,0.6737724588708274,0.00428425068809908,157.26728147408664,0,0.6653748979462212,0.6821700197954336
age_z,-0.1907470513860315,0.002787613848574353,-68.42664075714208,0,-0.19621105403944905,-0.18528304873261398
Position: Midfield,-0.12872343991472426,0.006343360302516323,-20.292626269969478,1.6620448476991327e-90,-0.14115706214768114,-0.11628981768176738
Position: Defense,0.1500871713266547,0.006528094656653606,22.99096125600475,2.975539429688672e-115,0.13729145123652878,0.1628828914167806
Position: GK,1.3133420038636592,0.013396076690695148,98.03930166926413,0,1.2870843503436864,1.339599657383632
Nationality: England,-0.0511009404370992,0.008956890039650002,-5.7052102025242695,1.1808777191675741e-8,-0.06865734300987514,-0.033544537864323265
Nationality: Germany,0.04531318276991733,0.009886025140770098,4.583559329931822,4.6030432128691476e-6,0.025935582235845585,0.06469078330398909
Nationality: Spain,0.14103523948721192,0.01061296442337771,13.288958095114925,4.207171156241731e-40,0.12023276507002584,0.161837713904398
Nationality: France,0.11016572338760637,0.011084894871565072,9.938364293395605,3.2681785848289853e-23,0.08843821797215523,0.1318932288030575
Nationality: Argentina,0.08350622065730529,0.011403508716606971,7.322853231628163,2.5335272938350773e-13,0.061154200158599396,0.10585824115601117
Nationality: Brazil,0.19414286021472052,0.012894228308057736,15.056570705623278,6.539663360699497e-51,0.16886887984436522,0.21941684058507582
Nationality: Italy,0.11724048378908254,0.013357154001103726,8.777355099701234,1.8261048422826484e-18,0.09105912264343367,0.1434218449347314
Nationality: China PR,-0.28505841574472823,0.01595657489658758,-17.86463684043434,9.519760781150723e-71,-0.3163349024858883,-0.25378192900356816
Nationality: Netherlands,0.07385680316097966,0.015976610615781824,4.622807987072259,3.8129908606038575e-6,0.042541044401244815,0.1051725619207145
Nationality: United States,-0.03550199203780916,0.01627363509383386,-2.181564956637193,0.029154985727133202,-0.06739994855676246,-0.0036040355188558734
Nationality: Poland,-0.01902971541645823,0.01660396275959834,-1.1460948023060114,0.25177168200498806,-0.051575147281811236,0.013515716448894773
Nationality: Sweden,-0.040975374227415935,0.01690877225564561,-2.423320487608721,0.015389479839938956,-0.07411826326785112,-0.007832485186980757
