Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high
total_stats_z,3.140787254144308,3.063877588658077,3.2205629310052966,1.7722266373532218,0.3183915111348238,0.3105047227528793,0.32638379669664996
age_z,1.3297010027742255,1.3059882099592828,1.3552514367948836,1.15312662044297,0.7520487672895239,0.7378704592005161,0.7657036965373349
position_group,2.9225877708276506,2.852060454399028,2.99580079999897,1.1957156874960635,0.34216252116760515,0.33380056511111944,0.3506237038059963
nationality_band,1.0960760770223898,1.07992788620535,1.1154867595559446,1.003829672838909,0.9123454301790885,0.8964696276610958,0.9259877560100789
