Known As,Full Name,best_position,age,overall,total_stats,value_eur,fitted,residual,std_resid,leverage,cooks
Bryan Gil,Bryan Gil Salvatierra,CAM,21,77,1750,23500000,6.521320385532437,0.849747495219938,1.6404824038073116,0.0017271141682039678,2.0243569280020208e-4
M. Aidara,Mohamed Aidara,CB,25,67,1406,1400000,5.2966484395613245,0.8494799063272175,1.6392716395358096,8.814732353613826e-4,1.0307803540855869e-4
S. Saftig,Sebastian Saftig,CB,20,50,1349,90000,5.803510632214316,-0.8492632973074825,-1.638667380425502,6.543284682879582e-4,7.64423203724383e-5
D. Mertens,Dries Mertens,CF,35,84,1980,18000000,6.406516832231529,0.8487556969995523,1.6499943480028527,0.015505864180991,0.001864317683937041
E. Adams,Ebou Adams,CB,26,66,1903,1100000,6.88876969931527,-0.8473766193439888,-1.635265310000151,9.455744032930406e-4,1.1004116283862202e-4
S. Bell,Stefan Bell,CB,30,75,1574,4600000,5.815725951139129,0.8470319749543503,1.6344013143890481,7.023957771757864e-4,8.163504104790409e-5
C. Mulgrew,Charlie Mulgrew,CB,36,68,1838,220000,6.189150844472312,-0.8467261895886964,-1.634380650872667,0.0013985243013382332,1.626508742565964e-4
T. Streller,Till Streller,CB,19,52,1468,210000,6.168442782678494,-0.8462214198804647,-1.6328984375121334,7.772269848766438e-4,9.017290440164228e-5
G. Hanley,Grant Hanley,CB,30,74,1550,3500000,5.701532044926294,0.8425361235081721,1.6255915993145378,5.367960792863692e-4,6.170744741864098e-5
P. Hristov,Petko Hristov,CB,23,67,1393,2100000,5.481491289324188,0.8407282122166496,1.6222781166922629,7.520531222105609e-4,8.611881352281184e-5
B. Mechele,Brandon Mechele,CB,29,76,1629,7000000,6.004526186565211,0.8405719154911806,1.6217948211545512,5.281317865685693e-4,6.0427651363419395e-5
Aritz Elustondo,Aritz Elustondo,CB,28,82,1820,29000000,6.622141526048604,0.8402564868260936,1.6213599253572462,7.42260059994009e-4,8.490037421773432e-5
Bremer,Gleison Bremer Silva Nascimento,CB,25,83,1869,45500000,6.820151237324778,0.8378601688773404,1.6169014119869716,9.467170220825856e-4,1.0771365903822462e-4
Y. Massolin,Yanis Massolin,CB,19,56,1501,350000,6.381379778760299,-0.8373104935703466,-1.6159376597335335,0.00106666676604103,1.2123098324837527e-4
H. Tombakti,Hassan Tombakti,CB,23,66,1447,1800000,5.418789003200496,0.8364837431775262,1.6147373089807198,0.0015555846196091173,1.766223553992124e-4
Parejo,Daniel Parejo Muñoz,CM,33,86,2162,42000000,6.787593546659961,0.8356557540783855,1.6134366482532732,0.0019239760893219233,2.18178547610732e-4
Miguel Rubio,Miguel Ángel Rubio Lestán,CB,24,66,1294,1800000,5.419997269930698,0.8352754764473259,1.611729518192113,7.186462494015517e-4,8.122390467123694e-5
Rodrigo Becão,Rodrigo Nascimento França,CB,26,75,1559,6500000,5.979897195783924,0.8330162276735338,1.607418639079204,7.789702033620846e-4,8.757687491982187e-5
