Known As,Full Name,best_position,age,overall,total_stats,value_eur,fitted,residual,std_resid,leverage,cooks
R. Le Normand,Robin Le Normand,CB,25,81,1623,34000000,6.41831708560562,1.1131618442100748,2.148254365619027,0.0010175487968677138,2.0438120528998104e-4
Casemiro,Carlos Henrique Venancio Casimiro,CDM,30,89,2209,86000000,6.8527690354843145,1.0817294208099548,2.0881164603295983,0.0015174212987891637,2.8810266893473767e-4
T. Šunjić,Toni Šunjić,CB,33,74,1537,2000000,5.225807043681564,1.0752231691296716,2.0760181522655055,0.0019608515308498437,3.681557532823663e-4
T. Müller,Thomas Müller,CAM,32,87,2140,63000000,6.7338346998116,1.0655058565355653,2.0562864443981677,0.001019296943916651,1.875784798410356e-4
Tan Wangsong,Wangsong Tan,CB,36,57,1617,35000,5.590836796951086,-1.0467563443642331,-2.0206202476406956,0.0015313243450150542,2.7225402398765e-4
B. Djimsiti,Berat Djimsiti,CB,29,79,1734,14500000,6.115475433310189,1.0458925988761965,2.018549405998718,0.0011321057270007092,2.0078435252929842e-4
Adriano Bisesi,Louri Adriano Bisesi Barbosa,ST,30,81,1904,25500000,6.360907591907196,1.0456326055580991,2.017715129684927,8.028759516832013e-4,1.4222932190898545e-4
S. Posch,Stefan Posch,CB,25,75,1550,7000000,5.803566502475806,1.041531599580585,2.0102739350571786,0.0012723808842538043,2.238477446290543e-4
Oriol Romeu,Oriol Romeu Vidal,CDM,30,78,1808,12000000,6.050772701335084,1.0284085809039254,1.9853748546299934,0.0017047811936329728,2.9266234819650864e-4
K. Koulibaly,Kalidou Koulibaly,CB,31,87,1789,54500000,6.708447065752639,1.027949444492779,1.9844388778222182,0.0016548772106510764,2.8381326666450336e-4
C. Immobile,Ciro Immobile,ST,32,86,2060,55000000,6.736603887269309,1.0037588101213815,1.937092763597199,9.883682959228822e-4,1.6140659009227033e-4
R. Knoche,Robin Knoche,CB,30,76,1615,6000000,5.785082779717823,0.9930685430482984,1.9160617107366178,5.706302839035421e-4,9.113681715762972e-5
T. Kroos,Toni Kroos,CM,32,88,2147,72000000,6.870773451025555,0.9865590514376813,1.9046972264151631,0.0018244812129288614,2.8830790100238654e-4
J. Giménez,José María Giménez,CB,27,83,1820,38500000,6.604207436538151,0.9812533042507963,1.8933502081680964,6.606169833572983e-4,1.030316842034356e-4
N. Süle,Niklas Süle,CB,26,85,1839,59000000,6.7934044970822915,0.9774475219208455,1.8863794867104267,0.001055381425466069,1.6345504476636034e-4
F. Agüero,Facundo Agüero,CB,27,62,1254,450000,4.686110131545774,0.9671033473274167,1.8665204486897133,0.0011669353242146695,1.7696669674432578e-4
Ibañez,Roger Ibañez Da Silva,CB,23,79,1694,22500000,6.399186444101322,0.9529960933120881,1.8393498902275178,0.001228408299208654,1.8091618712380044e-4
J. Corozo,Jonathan Corozo,CB,17,57,1619,400000,6.551160472877574,-0.9490993958146908,-1.8320065776939352,0.001422034898475759,2.0780428438610504e-4
E. Bičakčić,Ermin Bičakčić,CB,32,74,1573,2700000,5.482532276312045,0.9488316486967899,1.8308101549778972,6.805475617454795e-4,9.924598132924574e-5
J. Worrall,Joe Worrall,CB,25,74,1513,6000000,5.831508097691081,0.9466432250750421,1.8267179729086922,8.23294215074775e-4,1.1954404055198372e-4
C. Lema,Cristian Lema,CB,32,75,1676,3600000,5.61099656382198,0.945306057582715,1.8251087562884536,0.0018862778625229016,2.737003185862896e-4
G. Maripán,Guillermo Maripán,CB,28,78,1594,14000000,6.202513685217526,0.9436143814818155,1.821310236377119,0.0013026728095933025,1.881228205998683e-4
M. Debuchy,Mathieu Debuchy,CB,36,70,1947,275000,6.378875555615904,-0.9395412825357833,-1.8133968266107898,0.001245672990953186,1.783213079529998e-4
V. Mykolenko,Vitaliy Mykolenko,LB,23,76,1768,14500000,6.227000754575483,0.9343672776109858,1.8037920127973637,0.001668063844038052,2.3636479288553102e-4
L. Insigne,Lorenzo Insigne,CAM,31,84,2013,35000000,6.612426282097786,0.9316417746609245,1.7988157303644738,0.0019847064270981634,2.7977222521754195e-4
G. Ferrari,Gian Marco Ferrari,CB,30,74,1456,3500000,5.614887152924389,0.9291810155100785,1.7931001432085532,9.109309180154671e-4,1.274566471405233e-4
G. Pezzella,Germán Pezzella,CB,31,77,1639,7000000,5.91989362379699,0.9252044782594003,1.7856073946861082,0.0011135019135339224,1.5453218326091765e-4
