model,n,adj_r2,aic,max_vif,max_cooks
main,17426,0.7384109649700018,4355.395992022301,111.68111108072969,0.0021594682507359813
interaction,17426,0.90031095817532,-12437.818049846044,1549.062850540524,0.011087490649850892
