Known As,Full Name,best_position,age,overall,total_stats,value_eur,fitted,residual,std_resid,leverage,cooks
Ricardo Horta,Ricardo Jorge da Luz Horta,CF,27,81,2074,28000000,6.8653776778808036,0.5817803689718903,1.2689814715728405,0.06527185769339323,0.001050914632895429
Jorginho,Luiz Frello Filho Jorge,CM,30,85,2128,51500000,7.136037394173419,0.5757698433006473,1.2232026899424906,0.014676754308930721,2.0828805887191767e-4
D. Mertens,Dries Mertens,CF,35,84,1980,18000000,6.682217668802216,0.5730548604285143,1.3970420345970853,0.25174227580478004,0.006136773785532127
Adryan Zonta,Adryan Juliano Zonta Torres,LWB,30,81,2133,22000000,6.77197752863243,0.5704451719303832,1.2224585853023933,0.03163906178157125,4.563214314308283e-4
R. Ziegler,Reto Ziegler,CDM,36,68,1848,220000,5.912428140940101,-0.5700034860564368,-1.2059130305330341,0.006424663512552939,8.788156504696432e-5
É. Mendy,Édouard Mendy,GK,30,86,1225,51000000,7.138074901341704,0.5694952832718648,1.2049462759851135,0.006603443409183971,9.019851758462978e-5
Casemiro,Carlos Henrique Venancio Casimiro,CDM,30,89,2209,86000000,7.365047902985614,0.5694505533086257,1.209816389252436,0.014739966300761097,2.0464482825140664e-4
A. Juárez,Alex Juárez,CM,17,60,1627,500000,6.265417681556554,-0.5664468086324588,-1.2015397129651881,0.011629522937668857,1.5875763354013107e-4
D. Klaassen,Davy Klaassen,CAM,29,79,2126,17000000,6.6666719437990425,0.5637770031260548,1.1929960308292826,0.006850860120893217,9.175396682252074e-5
G. Xhaka,Granit Xhaka,CDM,29,79,1957,15000000,6.612765112552632,0.5633261754561372,1.1965786092304813,0.01436719822765679,1.950543443411963e-4
D. Szelągowski,Daniel Szelągowski,CF,19,62,1541,875000,6.5048222783464835,-0.5628137289879528,-1.3330988699174944,0.20734829149056902,0.004344692097494822
Flávio Triginho,Flávio Leôncio Trigo Sacramento,CF,26,64,1610,650000,6.372093174443007,-0.5591791496553503,-1.4735703443340735,0.35961972244297985,0.011396290764212648
Jadsinho Mei,Jadson José Meireles Correia,CDM,26,77,1784,10000000,6.441897543444127,0.5581024999854431,1.183315533894362,0.010753415971529097,1.4225228143410962e-4
J. Hernández,Javier Hernández,ST,34,79,1884,8500000,6.372629650255395,0.5567893265523599,1.1755589315477861,0.0023671370418537766,3.064486327047179e-5
J. Oblak,Jan Oblak,GK,29,89,1402,85500000,7.377018677631674,0.5549474421775682,1.1759550160823848,0.009624142346262073,1.2559132231249127e-4
C. Immobile,Ciro Immobile,ST,32,86,2060,55000000,7.187429898916249,0.5529327984742441,1.1697041957882874,0.006265510440838646,8.062215689151434e-5
W. Weghorst,Wout Weghorst,ST,29,79,1902,17500000,6.690367363172068,0.5526707103310529,1.1684037076801137,0.004996060770756336,6.406266295681485e-5
J. Vardy,Jamie Vardy,ST,35,85,2118,23000000,6.813640460499012,0.5480873944009955,1.1599229280623256,0.007068894478740186,8.951727871602392e-5
Pacheco,Fernando Pacheco Flores,GK,30,78,1290,10500000,6.475338356609012,0.5458509838223563,1.1526498793216091,0.002687800773378835,3.346393313154128e-5
J. Pavlenka,Jiří Pavlenka,GK,30,78,1059,9500000,6.437865465394579,0.5398581856095281,1.1453637868028395,0.012015250760874287,1.4910277153685838e-4
L. Hrádecký,Lukáš Hrádecký,GK,32,83,1195,18000000,6.717522003329567,0.5377505259012652,1.137716297022073,0.006491735255919398,7.90448348705365e-5
O. Giroud,Olivier Giroud,ST,35,82,1928,13000000,6.5771795366721255,0.5367638490419615,1.1357945390756794,0.006781685049463564,8.232062748767364e-5
K. Rocheteau,Kévin Rocheteau,CF,28,64,1649,600000,5.243542686015916,0.5346092881912177,1.1712650494604528,0.07351074639765282,0.0010172718731423379
Joselu,José Luis Sanmartín Mato,ST,32,80,1888,17000000,6.700750597483294,0.5296983494417071,1.1190996532328383,0.0036831578358917827,4.32689745737692e-5
Zubimendi,Martín Zubimendi Ibáñez,CM,23,79,1994,35000000,7.015111840982059,0.5289562157766056,1.1219458179719057,0.011507367993287854,1.3695016364374956e-4
R. Lukaku,Romelu Lukaku,ST,29,86,2034,68000000,7.304736166850599,0.5277727522423278,1.1160684763250786,0.005533858349512931,6.477925398890339e-5
K. Trapp,Kevin Trapp,GK,31,86,1252,36000000,7.0302617811905614,0.526040731640519,1.1120291503689812,0.004860059007630782,5.644246219522796e-5
S. Haller,Sébastien Haller,ST,28,82,1947,31000000,6.967793374312316,0.5235683335314553,1.1070601448178503,0.0053230222153034254,6.129638563883875e-5
A. Nübel,Alexander Nübel,GK,25,78,1212,17500000,6.72167705438967,0.5213610191135043,1.1027103727773697,0.0058957075546147986,6.739739735627976e-5
R. Kolo Muani,Randal Kolo Muani,ST,23,78,1829,22500000,6.833738171104069,0.5184443663092774,1.0959592896527628,0.004839270908992134,5.458731993051144e-5
Ederson,Ederson Santana de Moraes,GK,28,89,1583,88000000,7.426194032941488,0.5182886441435209,1.0992844174781882,0.011444633450704012,1.3074866267178493e-4
Alisson,Alisson Ramses Becker,GK,29,89,1437,79000000,7.379519170925761,0.5181079258621445,1.096209812848556,0.006584673132720595,7.444010174851836e-5
Neto,Norberto Murara Neto,GK,32,81,1323,13000000,6.597695163828985,0.5162482218851746,1.09091967627996,0.004114652411159805,4.595423948882113e-5
M. ter Stegen,Marc-André ter Stegen,GK,30,88,1443,68500000,7.321189599217889,0.5145009786146391,1.089204920295329,0.0077274526031713515,8.634571401959435e-5
C. Monschein,Christoph Monschein,CF,29,67,1664,1000000,6.51364726914434,-0.5136468348501203,-1.2045715972528157,0.19138508045671385,0.0032095769218010214
O. Vlachodimos,Odisseas Vlachodimos,GK,28,81,1258,22000000,6.83035711058354,0.5120655899793782,1.0833501038404119,0.0064464439121257626,7.116767979127543e-5
