term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),6.057436610005601,0.006618119826678432,915.280588542285,0,6.044464431866312,6.070408788144889
position_groupMidfield,-0.07515289409254686,0.006690510047770185,-11.2327600670137,3.547239263964941e-29,-0.0882669643202435,-0.06203882386485021
position_groupDefense,0.2634241669415769,0.009773033880304286,26.954185380699315,8.284561626744588e-157,0.2442680410664377,0.28258029281671604
position_groupGK,-0.6579626818326623,0.036354197487275856,-18.098671606296698,1.5085469891039187e-72,-0.7292205523859814,-0.5867048112793432
age_z,-0.21288791804499388,0.0025973841889933057,-81.96242933453175,0,-0.21797905136959286,-0.2077967847203949
total_stats_z,-0.15729002932907285,0.015213154684038332,-10.33908039429204,5.539439910522061e-25,-0.18710933719750394,-0.12747072146064176
pace_z,0.01724569651500221,0.0031376739092642725,5.496331681913373,3.932170741578279e-8,0.011095541189935946,0.023395851840068472
shooting_z,0.14313642556415868,0.006689486045868972,21.397223132343807,2.765657423032083e-100,0.13002436248281557,0.15624848864550178
passing_z,0.1303795163888815,0.006068658616317198,21.484074921980554,4.4891769888967055e-101,0.11848433728981952,0.1422746954879435
dribbling_z,0.32586084300286156,0.005659596292924111,57.57669383773324,0,0.3147674670545578,0.3369542189511653
defending_z,0.12083535157286644,0.0062387915299622395,19.36839065587399,1.0565462745312695e-82,0.10860669491205603,0.13306400823367684
physicality_z,0.20163817187422736,0.0030720826820674354,65.6356591739028,0,0.195616581928129,0.20765976182032572
