Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high
position_group,1404.546298575472,1363.5421764444404,1446.7843920731689,3.34648854891207,7.119736821877829e-4,0.00069118799281975285,7.333839886108917e-4
pace_z,7.483099981514423,7.279394459317626,7.693413774626879,2.7355255402782155,0.13363445663833307,0.12998130989626888,0.13737406395390483
shooting_z,39.16314495088224,38.03422890915406,40.326473790360325,6.2580464164851195,0.02553421083148923,0.024797605791137656,0.026292106575593555
passing_z,22.964960823665656,22.30910517989894,23.641002515688726,4.792177044273892,0.04354459855944925,0.042299390617482335,0.04482474720236762
dribbling_z,34.18696268829355,33.20337351026998,35.20059367764557,5.846961834003498,0.02925091676372948,0.028408611773927506,0.030117421643637954
defending_z,19.977436181562034,19.40883018275713,20.563605098741796,4.469612531479886,0.05005647325871272,0.048629605324466474,0.05152294036187732
physicality_z,6.619388627875171,6.440909805586131,6.803722112554121,2.5728172550484754,0.15107135359734888,0.1469783720523823,0.15525756922301737
age_z,1.7045022706585926,1.6696910919283867,1.7411229675072148,1.3055658813934257,0.5866815299774378,0.5743419727738766,0.5989131791109119
total_stats_z,82.17993444936467,79.79473716103276,84.63733409929183,9.065314911759252,0.012168420511653634,0.011815116941500725,0.012532154820961594
position_group:pace_z,111.72174959622896,108.47380080683914,115.06785413389716,10.569850973227057,0.008950808626020245,0.008690524452088622,0.009218815903581312
position_group:shooting_z,1549.062850540524,1503.8382084075977,1595.6484297616948,39.3581357604819,6.455515989238679e-4,6.267044678189837e-4,6.649651501133835e-4
position_group:passing_z,638.3415779920844,619.714009359345,657.5299652064975,25.265422576954542,0.0015665594009174823,0.0015208432359214985,0.0016136475614514367
position_group:dribbling_z,1538.7500175220437,1493.8265555476491,1585.0253561948136,39.226904256161276,6.498781404469906e-4,6.309047335373297e-4,6.694217586949991e-4
position_group:defending_z,266.5553724734763,258.78559920489704,274.5593301838261,16.32652358812115,0.0037515657280533907,0.0036422000276969957,0.003864202656841953
position_group:physicality_z,81.7274366506123,79.35545429887229,84.17122383492298,9.04032281783191,0.01223579303331188,0.011880544851779806,0.012601528260852146
