outcome,accuracy,null_accuracy,macro_recall,aic,pseudo_r2,n
Attacking work rate,0.6372517513979048,0.614499646506845,0.3924874768382897,22839.988220776922,0.10771564205415574,15559
Defensive work rate,0.7112924995179639,0.7003663474516357,0.3850029346324838,21042.253062358246,0.15307312567493803,15559
