y.level,term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,or,or.low,or.high
Medium,Age (z),-0.30480567107253664,0.04181572189947815,-7.289260049252923,3.1166197153057604e-13,-0.38676448599551383,-0.22284685614955943,Attacking work rate,0.7372666327055478,0.6792510492248132,0.8002373913464111
Medium,Height (z),-0.4749363113791108,0.06370688584571634,-7.455023190574707,8.985202471121642e-14,-0.5998018076367149,-0.3500708151215068,Attacking work rate,0.6219246647279024,0.5489204171486134,0.7046381889129023
Medium,Weight (z),0.00278266818216999,0.05989379797171779,0.04646003887554416,0.9629435840293504,-0.11460917584239684,0.12017451220673686,Attacking work rate,1.0027865433969212,0.8917145794132112,1.1276936307127146
Medium,Stamina (z),0.33298859727334534,0.05996478854044493,5.553068815522494,2.806975066442385e-8,0.2154576117340733,0.4505195828126174,Attacking work rate,1.395131390077216,1.240429402157358,1.5691272652789554
Medium,Aggression (z),-0.4009297520050375,0.07112416813555353,-5.637039595892594,1.7299834589527536e-8,-0.5403331215507224,-0.26152638245935267,Attacking work rate,0.6696971042643758,0.5825541587026654,0.7698755639456364
Medium,Position: Midfielder,-1.9068935477135127,0.2155686131382107,-8.845877514139396,9.08118256912083e-19,-2.329408029464406,-1.4843790659626197,Attacking work rate,0.14854110648266208,0.09735336035604406,0.22664302736339711
Medium,Position: Defender,-2.601987419787027,0.2025692054893709,-12.844930765765168,9.18340511973125e-38,-2.999023062546194,-2.20495177702786,Attacking work rate,0.07412611202249014,0.04983573098596448,0.11025584204068876
High,Age (z),-0.2334064350673374,0.04473599266882486,-5.217419378512889,1.8143315225658526e-7,-0.32108898069823416,-0.14572388943644066,Attacking work rate,0.7918316799521661,0.7253587051944603,0.8643963391985193
High,Height (z),-0.7350906642397211,0.06729628087431543,-10.923198944865897,8.929428986450934e-28,-0.8669913747533794,-0.6031899537260629,Attacking work rate,0.4794619869477229,0.4202139154970741,0.5470637417038587
High,Weight (z),-0.07194337822919492,0.0639273418237314,-1.1253929254178336,0.2604225676340189,-0.19724096820370848,0.05335421174531862,Attacking work rate,0.9305835856099962,0.8209927763204258,1.0548032026395942
High,Stamina (z),1.1450950380982303,0.06586224322761636,17.38621373919567,1.0494192802046275e-67,1.0160050413721025,1.2741850348243586,Attacking work rate,3.142740022681614,2.7621380658460533,3.5757860811854547
High,Aggression (z),-0.4385788008578168,0.07381549064276537,-5.941555045408369,2.823308992840053e-9,-0.5832571625176369,-0.2939004391979967,Attacking work rate,0.6449523758151882,0.5580776533811868,0.7453506954623355
High,Position: Midfielder,-2.52539691620557,0.21730118456929165,-11.621643578294838,3.1992164801556342e-31,-2.9513072379613816,-2.099486594449758,Attacking work rate,0.08002654265044298,0.05227133019935358,0.12251931420452676
High,Position: Defender,-3.600247311815831,0.20562544536637836,-17.508763593926805,1.228330942046246e-68,-4.003273184733932,-3.197221438897729,Attacking work rate,0.02731696580341223,0.01825578642665091,0.04087562174891689
Medium,Age (z),-0.46776056942368743,0.031461600061675,-14.867666250499786,5.344407931538181e-50,-0.5294253055445705,-0.4060958333028044,Defensive work rate,0.6264034858516939,0.5889433349098661,0.6662463157804557
Medium,Height (z),0.0641743888580835,0.04687759983335907,1.3689777012093456,0.17100624533245984,-0.02770570681530028,0.1560544845314673,Defensive work rate,1.0662783296091998,0.9726745761831472,1.1688898877728104
Medium,Weight (z),-0.11052312638615563,0.047107581187362,-2.3461855523120496,0.01896666261818375,-0.20285398551338515,-0.01819226725892611,Defensive work rate,0.8953656233788934,0.8163974385760101,0.9819722131012472
Medium,Stamina (z),0.23298527797935545,0.04492015873963886,5.186653042117645,2.141070837184978e-7,0.14494176684966326,0.3210287891090476,Defensive work rate,1.2623628946578636,1.1559722524020155,1.378545267412512
Medium,Aggression (z),0.4107440895145445,0.04147029202636743,9.904538151151364,3.9780376105282287e-23,0.3294623171428643,0.4920258618862246,Defensive work rate,1.5079394096698704,1.3902204297766798,1.635626419042616
Medium,Position: Midfielder,0.8539200862868773,0.0691026466945421,12.3572703381609,4.4501260499598265e-35,0.7184788987655748,0.9893612738081798,Defensive work rate,2.348836469745633,2.051310585267871,2.68951605925959
Medium,Position: Defender,2.9356985393363852,0.1558561835699597,18.83594524190712,3.8322359587961074e-79,2.630220419539264,3.2411766591335063,Defensive work rate,18.834655288607923,13.876828289151335,25.563783917252856
