y.level,term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,or,or.low,or.high
Medium,Age (z),-0.4023377087955464,0.039546213701579916,-10.17386169587893,2.5941526029402188e-24,-0.479848287650643,-0.3248271299404498,Attacking work rate,0.6687548631518827,0.6188772760097713,0.7226522677853695
Medium,Height (z),-0.5388253591238116,0.06290146324891514,-8.56618163223897,1.0697310526837796e-17,-0.6621122270916853,-0.4155384911559379,Attacking work rate,0.5834331744817544,0.5157607792562284,0.6599847890270663
Medium,Weight (z),-0.04158810144895319,0.05921715067605673,-0.7022982526879414,0.48249318272603586,-0.15765371677402437,0.074477513876118,Attacking work rate,0.9592648189980373,0.8541455070248385,1.0773211184737617
Medium,Position: Midfielder,-1.873244236990608,0.21026132633960104,-8.90912403912577,5.143733879939266e-19,-2.285356436616226,-1.4611320373649899,Attacking work rate,0.1536244583353863,0.1017377925682467,0.23197352333951426
Medium,Position: Defender,-2.713603311701276,0.19730628071281428,-13.753253580665351,4.868965846465295e-43,-3.100323621898392,-2.32688300150416,Attacking work rate,0.06629748529459521,0.04503462584393071,0.09759949092547925
Medium,Position: Goalkeeper,8.941588673271792,14.00054937045008,0.6386598437447132,0.5230442413282181,-18.499488092810367,36.38266543935395,Attacking work rate,7643.330169666227,9.242179589405072e-9,6321073456471380
High,Age (z),-0.19646663212306997,0.041575958151903084,-4.725486575805517,2.2956500051575745e-6,-0.2779555101008,-0.11497775414533994,Attacking work rate,0.8216287468447587,0.7573305143230785,0.891385973329078
High,Height (z),-0.806609814578825,0.06610455498387562,-12.202030779506423,3.031673148165914e-34,-0.9361747423472212,-0.6770448868104287,Attacking work rate,0.4463687769012731,0.3921249490724057,0.5081163171679443
High,Weight (z),-0.09734839593360502,0.06271161991048595,-1.5523183115435277,0.12058607854621683,-0.22026317095815745,0.02556637909094743,Attacking work rate,0.9072398723842711,0.8023076261098475,1.0258960020543744
High,Position: Midfielder,-2.128816059661117,0.21127483345165338,-10.076051297175724,7.050273831193566e-24,-2.5429147332263575,-1.7147173860958764,Attacking work rate,0.11897807343923666,0.07863685996095396,0.18001458815040747
High,Position: Defender,-3.526042258126347,0.19954887055971285,-17.670068731715606,7.130996480178239e-70,-3.9171580444233842,-3.1349264718293095,Attacking work rate,0.029421126974763744,0.01989756245558249,0.04350295240421854
High,Position: Goalkeeper,-1.1937131153290705,14.819122986490816,-0.08055221057394997,0.9357980730714712,-30.23919416885107,27.85176793819293,Attacking work rate,0.3030937500179584,7.366901027707988e-14,1247007676015.0266
Medium,Age (z),-0.34886960418090357,0.03006434499597386,-11.604097951497806,3.9280781487142134e-31,-0.4077957203730123,-0.2899434879887948,Defensive work rate,0.7054851165821459,0.6651147343355067,0.7483058546525332
Medium,Height (z),0.08026751195841479,0.04619305673117098,1.7376531807701403,0.08227194310159683,-0.010270879234680327,0.1708059031515099,Defensive work rate,1.0835768986848597,0.9897816861273576,1.186260477254799
Medium,Weight (z),-0.04708134142306143,0.04620402495792328,-1.018987879647652,0.30820872067173455,-0.13764123034059106,0.043478547494468195,Defensive work rate,0.9540097939199654,0.8714112715954778,1.0444375882685542
Medium,Position: Midfielder,1.0777147401239648,0.06606838939773735,16.31210855824001,8.094948329132522e-60,0.9482206969043996,1.20720878334353,Defensive work rate,2.9379578763517338,2.581112988762498,3.34413740149964
Medium,Position: Defender,3.1942045857254757,0.15352865639452817,20.805266330978707,3.87800502389603e-96,2.8932884191922006,3.495120752258751,Defensive work rate,24.390765211611225,18.05257654003635,32.954267014936946
Medium,Position: Goalkeeper,12.285090013916335,18.33764421550272,0.669938290302877,0.5028971293483926,-23.656692648468994,48.22687267630167,Defensive work rate,216444.62367522324,5.321436972349231e-11,880368880836848e6
High,Age (z),0.0521065068649391,0.034773666274628814,1.4984473150867181,0.13401707114068614,-0.016049879033333367,0.12026289276321157,Defensive work rate,1.0534879402361106,0.9840782339600774,1.1277933013077366
High,Height (z),0.2082000295408349,0.05381755002645179,3.868627045239012,1.0944990426239802e-4,0.10271763148898941,0.3136824275926804,Defensive work rate,1.231459473187023,1.1081784501943046,1.3684550839588725
High,Weight (z),0.013806420629620873,0.05372804548369785,0.25696860001747157,0.7972030128627363,-0.09150054851842691,0.11911338977766865,Defensive work rate,1.0139021693967245,0.9125608155954509,1.1264976443642392
High,Position: Midfielder,2.2237635857968967,0.0832116487311376,26.72418609300755,2.464632585489805e-157,2.060668754283867,2.3868584173099263,Defensive work rate,9.242048736418315,7.851218591116894,10.87926209862161
High,Position: Defender,4.234555859545479,0.16122289422195668,26.26522666015247,4.789312125124247e-152,3.9185589868704436,4.550552732220513,Defensive work rate,69.03101245870619,50.32786937901495,94.68472915447936
High,Position: Goalkeeper,0.8521150229101436,24.41038714028566,0.03490788646706288,0.9721531919560575,-46.992243772049754,48.696473817870036,Defensive work rate,2.3446004953074766,3.9041620672829654e-21,1408023383215155e6
