term,GVIF,Df,GVIF^(1/(2*Df))
height_z,2.3016343209394776,1,1.517113812783826
weight_z,2.3127650874786045,1,1.520777790302911
stamina_z,1.2906820359145175,1,1.136081879053846
aggression_z,1.4609341677435275,1,1.2086910969075297
position_group,1.3620876280196312,2,1.080317128845288
