term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),5.8025801674194355,0.008925455630221048,650.1158492987465,0,5.78508538625098,5.820074948587891
total_stats_z,0.6679050471724817,0.007354392946013485,90.81715541654945,0,0.6534897051946791,0.6823203891502843
age_z,-0.21596377359254218,0.0047829919651609185,-45.15244331698899,0,-0.2253389137789597,-0.20658863340612466
position_groupMidfield,-0.1171442592437854,0.010889981292719508,-10.757067077984985,6.661832582389935e-27,-0.1384897061921318,-0.09579881229543898
position_groupDefense,0.15877176923680847,0.011202559860017879,14.172811502080657,2.4049457238169893e-45,0.1368136371932252,0.18072990128039174
position_groupGK,1.2827026357688824,0.02296547541069118,55.85351980877097,0,1.2376880187694765,1.3277172527682883
nationality_bandEngland,-0.003642966278358607,0.01539791393894612,-0.23658829974003237,0.8129789660970917,-0.03382440977805626,0.026538477221339042
nationality_bandGermany,0.10244120989522254,0.017007032400667855,6.023461794028201,1.7413890366933794e-9,0.06910573409417933,0.13577668569626575
nationality_bandSpain,0.18613542761419558,0.01823270195114481,10.208877878492846,2.1180272641441883e-24,0.15039751753317795,0.2218733376952132
nationality_bandFrance,0.16639441085014067,0.019071698901212412,8.724676900156114,2.9052636066423224e-18,0.12901198326205762,0.20377683843822372
nationality_bandArgentina,0.13005103414291572,0.019589097216113526,6.63894985604231,3.25202824456982e-11,0.09165445437357325,0.16844761391225818
nationality_bandBrazil,0.264567545479645,0.022184300305897686,11.925890915266317,1.1609373144650586e-32,0.22108410941696738,0.30805098154232263
nationality_bandItaly,0.1823198153499021,0.022983195892739967,7.932744262406696,2.2720081065790557e-15,0.13727046444239266,0.22736916625741155
nationality_bandChina PR,-0.22215202055968164,0.02745763428256026,-8.090719625498897,6.316352169558209e-16,-0.2759717159431183,-0.16833232517624497
nationality_bandNetherlands,0.12897017842819164,0.027494181271666144,4.690817200696228,2.7417171917392422e-6,0.0750788473094757,0.18286150954690758
nationality_bandUnited States,0.019494470778639493,0.028006353113966955,0.6960731623753422,0.48639225364907235,-0.035400768114975736,0.07438970967225472
nationality_bandPoland,0.03552636778020825,0.02857510914725082,1.2432627150131534,0.2137876888304543,-0.020483689533079476,0.09153642509349597
nationality_bandSweden,-0.04708477728213459,0.02895034544422781,-1.6263977703769494,0.1038830636481615,-0.1038303350756271,0.009660780511357922
