Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high
total_stats_z,3.14114312192897,3.064434029872657,3.2207025277850736,1.7723270358285939,0.3183554397820313,0.3104912643663851,0.32632453179015086
age_z,1.328597302685409,1.3049815329631973,1.3540417227332777,1.1526479526227464,0.7526735136212935,0.7385296798546157,0.766294368725141
position_group,2.924018417696022,2.8536427366671804,2.997065992495062,1.1958132208142358,0.34199510986252585,0.33365965330896785,0.35042929065742745
nationality_band,1.0952544255027834,1.0791798821163465,1.11459230975531,1.003798307369087,0.9130298647649323,0.8971890360696397,0.9266295791568415
