cell,statistic,p.value
Midfield / Rotation 70-77,0.37175433504130917,0.8681143081448466
Defender / Rotation 70-77,3.4754406620366027,0.004165757578695354
Forward / Rotation 70-77,1.4212553678957718,0.21668784098560331
Midfield / Starter 78-84,0.9278358197728533,0.4499982721369802
