Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high
cell,1.9079120639642262,1.7855866919333228,2.0492849794376924,1.1136782183558165,0.5241331709608343,0.4879750791294982,0.5600400162689732
nationality,1.157072316421619,1.1063052545487286,1.2320836603118626,1.0146962381709783,0.8642502165228674,0.8116331968454821,0.9039096541287861
age,2.7486878267332044,2.5509372956329375,2.9716523188753183,1.6579167128457342,0.36380995698172564,0.33651312222772756,0.39201277181996763
potential,4.694120756518769,4.322736568753675,5.107014769714796,2.166591968165388,0.21303244033747762,0.19580910670752683,0.23133493889689383
overall,3.7545230182067724,3.4669480576867673,4.075620921238842,1.9376591594516235,0.26634541728755146,0.24536138647949524,0.2884381257985228
