cell,contrast,nationality_1,nationality_2,ratio,SE,df,null,t.ratio,p.value,lower.CL,upper.CL,percent_difference,ci_low_percent,ci_high_percent,abs_pct,contrast_label
Midfield / Rotation 70-77,Brazil / Argentina,Brazil,Argentina,1.253901953861752,0.06656351281278451,678,1,4.26221755175115,3.3192268797521685e-4,1.0773981667665586,1.4593213153656543,25.390195386175197,7.739816676655864,45.932131536565436,25.390195386175197,Brazil vs Argentina
Defender / Rotation 70-77,Brazil / Argentina,Brazil,Argentina,1.3323252820980238,0.06529301352463303,629,1,5.854813671804804,1.1513544984076418e-7,1.1581669344633172,1.5326725401119639,33.23252820980238,15.816693446331719,53.267254011196385,33.23252820980238,Brazil vs Argentina
Defender / Rotation 70-77,Brazil / France,Brazil,France,1.2185121303746014,0.06114892993641311,629,1,3.9381755623118684,0.0012770725922341963,1.0556750014398721,1.406466772297267,21.851213037460138,5.567500143987214,40.646677229726706,21.851213037460138,Brazil vs France
Defender / Rotation 70-77,Brazil / England,Brazil,England,1.2120993847947719,0.05992763264544957,629,1,3.8905595850794916,0.0015409344617240972,1.0523491891503047,1.3961002049197413,21.209938479477188,5.234918915030473,39.610020491974126,21.209938479477188,Brazil vs England
Defender / Rotation 70-77,Argentina / Germany,Argentina,Germany,0.8169250815063134,0.04503826740947594,629,1,-3.6677408956355984,0.0035991314245005235,0.6978140909307888,0.9563673154033343,-18.307491849368663,-30.218590906921115,-4.363268459666569,18.307491849368663,Argentina vs Germany
