Row,Distance_Cook,Outlier_Cook,Outlier
1,0.0011307665607972475,0,0
2,0.0013890630814448273,0,0
3,0.009580637965248353,0,0
4,0.007095235611957444,0,0
5,2.4220671361510675e-4,0,0
6,0.0034169627180313813,0,0
7,0.0013928969962236257,0,0
8,0.008881005537394767,0,0
9,0.0067821694717562575,0,0
10,0.0077784165739589895,0,0
11,0.0021915878388329957,0,0
12,0.00319547584230302,0,0
13,0.0014085956166008044,0,0
14,8.406959788718737e-4,0,0
15,0.0012175151367518464,0,0
16,3.2222531720569095e-5,0,0
17,0.0010505171506353596,0,0
18,9.580504049044487e-4,0,0
19,6.489670314373579e-4,0,0
20,1.0896467439258721e-5,0,0
21,0.009056661571715741,0,0
22,0.007057432416647273,0,0
23,6.19161700252855e-5,0,0
24,3.9495916757943726e-4,0,0
25,7.016664481935434e-5,0,0
26,0.0010636091970972037,0,0
27,1.0757347693333696e-4,0,0
28,0.0036582287218341774,0,0
29,0.0017653536127269034,0,0
30,0.0024953141867155456,0,0
31,7.154860057922035e-4,0,0
32,1.710878996073137e-4,0,0
33,3.2726005655204105e-4,0,0
34,3.0786490679305317e-4,0,0
35,0.002562721379300534,0,0
36,5.580108003592348e-4,0,0
37,1.1062886086032306e-4,0,0
38,2.469382026052555e-4,0,0
39,3.9653370036872517e-05,0,0
40,1.0076785898097682e-5,0,0
41,0.002085583238769143,0,0
42,1.1164794442475338e-4,0,0
43,0.0061251472575575925,0,0
44,0.001391071550680068,0,0
45,0.0019446731789811013,0,0
46,5.1357926501083674e-5,0,0
47,0.0014176491487111506,0,0
48,3.9457398499608064e-4,0,0
49,2.3541323094080753e-8,0,0
50,1.8622273348428505e-4,0,0
51,2.5757076312321172e-5,0,0
52,5.674319478379465e-6,0,0
53,1.687974276573658e-4,0,0
54,4.389333066136189e-5,0,0
55,6.534138185468532e-5,0,0
56,9.574304717156198e-6,0,0
57,0.002805036628807981,0,0
58,9.518558510838571e-5,0,0
59,0.0012549951313417158,0,0
60,3.1198337272772314e-5,0,0
61,2.0816531579192757e-6,0,0
62,0.0015320235117994097,0,0
63,1.7322653462984458e-4,0,0
64,4.2631504164251943e-4,0,0
65,3.329940935506978e-4,0,0
66,5.0139643000492093e-5,0,0
67,0.0015236044319452862,0,0
68,3.206165659049915e-5,0,0
69,1.1320464570836976e-4,0,0
70,1.0821456265516344e-5,0,0
71,1.3665400395867617e-5,0,0
72,1.0462507894733085e-4,0,0
73,3.4962544185618765e-4,0,0
74,1.4315958363154488e-4,0,0
75,0.0013040411731989204,0,0
76,3.5030765151060166e-4,0,0
77,5.005337746711433e-4,0,0
78,0.0013472695777602638,0,0
79,2.073913161746589e-4,0,0
80,0.0011537288925086877,0,0
81,5.445022678161952e-4,0,0
82,1.7143825538987008e-4,0,0
83,0.001568282455307116,0,0
84,8.269175103658589e-4,0,0
85,1.4382181089183063e-4,0,0
86,2.8521300419053814e-4,0,0
87,0.003782408945270147,0,0
88,3.6433118484897886e-4,0,0
89,4.0939281381563994e-4,0,0
90,0.0019487850116762643,0,0
91,4.969668857999716e-4,0,0
92,1.2390958729430667e-4,0,0
93,3.686938616323407e-5,0,0
94,3.748524881179201e-4,0,0
95,3.732171441501023e-4,0,0
96,0.003711031881028317,0,0
97,3.081283146529271e-4,0,0
98,2.9284260862480027e-4,0,0
99,3.789485205873353e-4,0,0
100,0.005655034848559958,0,0
101,5.824409749533268e-4,0,0
102,9.644701109468278e-4,0,0
103,4.054406667262939e-4,0,0
104,0.003881971546124379,0,0
105,5.450567681469456e-4,0,0
106,5.824409749533268e-4,0,0
107,0.003623879010744895,0,0
108,5.824409749533268e-4,0,0
109,0.004346479243237948,0,0
110,0.0022247213623626384,0,0
