cell,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs
Midfield / Starter 78-84,36.55835517802593,133,-2287.8168822907555,4591.633764581511,4614.8164829811185,8.010521560522472,127,134
Midfield / Rotation 70-77,398.1432216020603,685,-10747.216359895201,21512.432719790402,21553.210618439934,129.84258946715795,678,686
Defender / Rotation 70-77,367.0214790313835,636,-9797.579462644293,19613.158925288586,19653.269852188736,97.96986553487388,629,637
Forward / Rotation 70-77,154.2888875229946,277,-4296.287493467227,8610.5749869344545,8643.223576957671,45.02839135042215,270,278
