position_group,ability_tier,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Goalkeeper,Depth/Youth (<70),log_value,England,United States,138,61,4785,0.124,0.155,ns
Goalkeeper,Depth/Youth (<70),log_value,France,Germany,69,134,5011,0.328,0.351,ns
Goalkeeper,Depth/Youth (<70),log_value,France,Italy,69,59,2617,0.005,0.009,**
Goalkeeper,Depth/Youth (<70),log_value,France,Spain,69,73,1875.5,0.009,0.013,*
Goalkeeper,Depth/Youth (<70),log_value,France,United States,69,61,3072.5,6.31e-6,1.89e-5,****
Goalkeeper,Depth/Youth (<70),log_value,Germany,Italy,134,59,4867,0.011,0.014,*
Goalkeeper,Depth/Youth (<70),log_value,Germany,Spain,134,73,3144,2.2e-5,5.5e-5,****
Goalkeeper,Depth/Youth (<70),log_value,Germany,United States,134,61,5830,1.83e-6,6.86e-6,****
Goalkeeper,Depth/Youth (<70),log_value,Italy,Spain,59,73,1037.5,3.25e-7,1.62e-6,****
Goalkeeper,Depth/Youth (<70),log_value,Italy,United States,59,61,2056.5,0.178,0.205,ns
Goalkeeper,Depth/Youth (<70),log_value,Spain,United States,73,61,3738.5,1.42e-11,2.13e-10,****
