model_id,n,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs
regular_midfielders,686,398.1432216020603,685,-10677.193192610142,21374.386385220285,21419.695161497544,106.4671189357141,677,686
depth_defenders,1432,807.0685602179373,1431,-19711.789362920455,39443.57872584091,39496.246999316114,183.72488333017398,1423,1432
depth_forwards,704,311.9980314775022,703,-9748.812962476446,19517.625924952892,19563.19370851447,75.14683142020561,695,704
