term,statistic,df,p.value
cell,158.8398842273818,3,3.262015581506708e-34
nationality,27.702258942706024,5,4.161566052593274e-5
age,3346.012044063034,1,0
potential,60.921731274262434,1,5.938963089792892e-15
overall,8507.47972642212,1,0
