cell,partial_eta2_log_lm,eta2_ci_low,eta2_ci_high
Midfield / Starter 78-84,0.1699490102873557,0.064984528621661,1
Midfield / Rotation 70-77,0.049665192072960176,0.02157304077825388,1
Defender / Rotation 70-77,0.12263614378310568,0.08069422670684917,1
Forward / Rotation 70-77,0.08910524338829723,0.030870019331170024,1
