model_id,Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high
regular_midfielders,nationality,1.0751692979017962,1.0243789798844158,1.2317743963791126,1.0072741425314433,0.9300860822118993,0.8118369751308115,0.9762012103302173
regular_midfielders,age_z,2.1345782053233524,1.9178216515865354,2.402524882442688,1.4610195773237784,0.4684766280786217,0.4162287796925054,0.5214249193467708
regular_midfielders,potential_z,2.0469336719932794,1.8423356371983308,2.3012272841725414,1.4307108974189298,0.488535614847848,0.43455073163691116,0.5427892615271319
regular_midfielders,total_stats_z,1.2128573817246355,1.1300323070166383,1.3484385226578326,1.10129804400291,0.824499248689932,0.7415985105712904,0.8849304518028052
depth_defenders,nationality,1.451440304528015,1.3635356141826473,1.5606007791301424,1.0379583281938036,0.6889708084309977,0.6407788675828974,0.7333875181539986
depth_defenders,age_z,2.1799134101613835,2.019324988319692,2.3658015563550867,1.4764529827127526,0.45873381728770957,0.42268972108576486,0.4952149880699064
depth_defenders,potential_z,2.41216468886479,2.2287345307984627,2.6229779976808354,1.553114512476395,0.41456539207968374,0.38124604967490094,0.44868511084706963
depth_defenders,total_stats_z,1.53696860939318,1.4403198178222365,1.6548315015656436,1.239745380871887,0.6506313752203541,0.6042911311839879,0.6942902455594897
depth_forwards,nationality,1.2012295589336939,1.1212689644298832,1.333913426069222,1.0185036765689859,0.8324803469602254,0.7496738397384615,0.8918466770445722
depth_forwards,age_z,3.4020903426924205,3.01528062749991,3.863143691116758,1.844475628110174,0.2939369326708115,0.2588565375653733,0.3316440900657197
depth_forwards,potential_z,2.4706511824531967,2.2104171344643775,2.7868343390628336,1.5718305196340974,0.40475159225312607,0.3588300840071762,0.4524032972818578
depth_forwards,total_stats_z,2.007291151836171,1.8104184971075592,2.2519895192283323,1.4167890286969937,0.49818383301557884,0.44405180018007384,0.5523584749038215
