model_id,n,term,estimate,std.error,statistic,p.value,conf.low,conf.high,adj_r2,percent_change,percent_low,percent_high
regular_midfielders,686,(Intercept),3903319.5369953914,0.03206527221368183,473.3263392013858,0,3667452.557201362,4159733.1032097894,NA,390331853.6995391,366745155.7201362,415973210.32097894
regular_midfielders,686,nationalityBrazil,1.1397244912804643,0.04705679592994729,2.7793341280136983,0.005598193696443028,1.0390110597072633,1.2504524083844752,NA,13.972449128046428,3.9011059707263263,25.045240838447526
regular_midfielders,686,nationalityArgentina,0.8358584556239174,0.04771828399667363,-3.757385569426188,1.8649769602821343e-4,0.7610501883700161,0.9182749999922393,NA,-16.414154437608264,-23.894981162998384,-8.172500000776072
regular_midfielders,686,nationalityFrance,0.8966792723327061,0.048283327795856625,-2.258689319233827,0.024220112237860678,0.8156340453481101,0.9861187797435158,NA,-10.332072766729395,-18.436595465188987,-1.3881220256484195
regular_midfielders,686,nationalityEngland,0.923635700031162,0.05342454976319382,-1.4869109701551264,0.13750389098812785,0.8320004447638291,1.0263513223949496,NA,-7.636429996883798,-16.799955523617093,2.635132239494964
regular_midfielders,686,nationalityGermany,1.0042988281091805,0.056086643369563934,0.07648192663173106,0.939058288355174,0.9005605356705918,1.1214865858548242,NA,0.4298828109180475,-9.94394643294082,12.14865858548242
regular_midfielders,686,age_z,0.9209183942865536,0.021865114799987304,-3.767821617137855,1.7902710688770166e-4,0.878974143160783,0.9651611994105758,NA,-7.908160571344636,-12.102585683921696,-3.4838800589424235
regular_midfielders,686,potential_z,1.7573714133549752,0.021411525555981758,26.332508444167075,9.228342551964943e-106,1.6825695204586717,1.8355589712384943,NA,75.73714133549751,68.25695204586717,83.55589712384943
regular_midfielders,686,total_stats_z,1.231872549402921,0.016481646471318088,12.652583585197311,4.358044414125701e-33,1.1919958458151592,1.2729917674499633,NA,23.1872549402921,19.199584581515914,27.299176744996334
depth_defenders,1432,(Intercept),665739.0334427411,0.015618047975328717,858.5357819515044,0,645791.8597498029,686514.9884770261,NA,66573803.34427411,64579085.97498029,68651398.84770261
depth_defenders,1432,nationalityGermany,1.067834935955289,0.024560071407204523,2.672352745074492,0.007618164037716719,1.0177221372056509,1.1205794224273131,NA,6.7834935955289,1.7722137205650856,12.057942242731311
depth_defenders,1432,nationalityFrance,1.003858911151603,0.027948827305210755,0.13780487500384367,0.8904141275108989,0.9506191241616235,1.0604536820365533,NA,0.3858911151602973,-4.938087583837647,6.0453682036553325
depth_defenders,1432,nationalitySpain,1.0803489432172906,0.028520428109802837,2.709779959333642,0.0068136220801565655,1.0219721739825252,1.1424606703643008,NA,8.034894321729059,2.1972173982525156,14.246067036430077
depth_defenders,1432,nationalityArgentina,1.1902929061382395,0.029857983762813695,5.834265897919548,6.678932438262206e-9,1.1229283359658633,1.2622213139615648,NA,19.029290613823946,12.292833596586327,26.222131396156477
depth_defenders,1432,nationalityChina PR,0.7963888641479455,0.031654852083851506,-7.192189337172251,1.0270217172654105e-12,0.7483511222562765,0.8478460914680033,NA,-20.361113585205448,-25.164887774372346,-15.215390853199672
depth_defenders,1432,age_z,1.1106601902273747,0.012448861099074102,8.430859952279313,8.300228515121719e-17,1.0814707104959074,1.1407552863915795,NA,11.066019022737471,8.147071049590737,14.075528639157952
depth_defenders,1432,potential_z,1.8753169742122515,0.013095240460180959,48.01574281584842,6.126890716325827e-300,1.8264978267711776,1.925469531542099,NA,87.53169742122515,82.64978267711776,92.54695315420992
depth_defenders,1432,total_stats_z,1.2316391732423495,0.010453037262545524,19.931617779526842,3.7450897036676623e-78,1.2064911645257312,1.2573089132266846,NA,23.16391732423495,20.649116452573125,25.73089132266846
depth_forwards,704,(Intercept),689728.8326026185,0.021424169168071307,627.5180940569649,0,661430.3863842883,719646.487410235,NA,68972783.26026185,66142938.63842883,71964548.7410235
depth_forwards,704,nationalityGermany,1.215724558802676,0.03382923707169868,5.774302368369294,1.165166195373798e-8,1.137757052646548,1.2994697559646242,NA,21.572455880267594,13.775705264654793,29.946975596462423
depth_forwards,704,nationalityFrance,1.2756303343206565,0.0392398187893475,6.203913366958638,9.45703586502065e-10,1.1811745989967193,1.3786461969434916,NA,27.56303343206565,18.11745989967193,37.86461969434916
depth_forwards,704,nationalitySpain,1.2872240037918918,0.040176310371787996,6.284498557799376,5.804700060456219e-10,1.1896516546892988,1.393743034754255,NA,28.72240037918918,18.96516546892988,39.3743034754255
depth_forwards,704,nationalityArgentina,1.1843433851954823,0.04052173063247569,4.1752539453027735,3.354913245635754e-5,1.0947864862908692,1.2821617901487283,NA,18.434338519548234,9.478648629086916,28.216179014872832
depth_forwards,704,nationalityItaly,1.2830281723653416,0.04565341651773547,5.4590228420583795,6.66822735315742e-8,1.173582937122024,1.4046079821416353,NA,28.30281723653416,17.35829371220241,40.46079821416353
depth_forwards,704,age_z,1.0052960790392838,0.02169560188187158,0.2434642818949106,0.8077175949362168,0.9591705592560567,1.0540284435037561,NA,0.5296079039283752,-4.082944074394335,5.402844350375613
depth_forwards,704,potential_z,1.6081912144650878,0.01848862010429326,25.697433095346156,6.87407497853309e-103,1.5468963323125093,1.6720820789222888,NA,60.81912144650878,54.68963323125094,67.20820789222887
depth_forwards,704,total_stats_z,1.3872423541551038,0.016664948155865503,19.641096728018976,1.1760007027360405e-68,1.339504496141139,1.4366307675028085,NA,38.72423541551038,33.95044961411391,43.66307675028085
