r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,model
0.03230639961916946,0.03213976658041706,0.5271796587211272,193.87751589403467,1.0976734775654292e-123,3,-13568.055574595342,27146.111149190685,27184.93974230464,4841.894235342765,17422,17426,Model_1
0.5168734474321889,0.5167625177375519,0.37250544723040374,4659.468766443088,0,4,-7515.6844765540345,15043.368953108069,15089.963264844817,2417.343329436565,17421,17426,Model_2
0.5946857232209936,0.5944995537191142,0.34123061565773216,3194.324082182357,0,8,-5985.543360261113,11991.086720522226,12068.743906750138,2028.0064469435526,17417,17426,Model_3
0.7090132976068957,0.708846207912728,0.2891435753440716,4243.309565790212,0,10,-3098.184214223633,6220.368428447266,6313.55705192076,1455.96378473934,17415,17426,Model_4
