term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),6.092959852944919,0.00967505730071332,629.7595625088131,0,6.073995771590454,6.111923934299384,Model 1
position_groupMidfield,0.011457935418718358,0.01164315304561012,0.9840921418651629,0.3250838762364102,-0.01136381071844983,0.034279681555886544,Model 1
position_groupDefense,-0.07250116724337004,0.011866573453688585,-6.109696916832711,1.0194144828644903e-9,-0.09576083975795982,-0.049241494728780255,Model 1
position_groupGK,-0.30499211824460293,0.015376018361145199,-19.83557193293357,1.3247204291078662e-86,-0.3351306542806638,-0.27485358220854206,Model 1
(Intercept),5.990796814996093,0.006879950478089868,870.761618717256,0,5.977311422915582,6.004282207076605,Model 2
position_groupMidfield,-0.15603565811719458,0.008324065527063334,-18.74512611774727,1.2311491359588293e-77,-0.17235166034625146,-0.1397196558881377,Model 2
position_groupDefense,0.0037840572428933976,0.00840476438491484,0.45022764108475827,0.652551909933128,-0.012690122830908545,0.02025823731669534,Model 2
position_groupGK,0.94921114297208,0.01442456797395102,65.80516967206488,0,0.9209375448785775,0.9774847410655825,Model 2
total_stats_z,0.5630348387580654,0.004259437428690075,132.18525877752313,0,0.554685914743101,0.5713837627730297,Model 2
(Intercept),6.178516937040055,0.010387218696635156,594.8191828329876,0,6.158156947614047,6.198876926466062,Model 3
position_groupMidfield,-0.24113261193960467,0.01023134229242227,-23.56803291765508,6.369313119489921e-121,-0.2611870679948205,-0.22107815588438887,Model 3
position_groupDefense,0.017869350586650824,0.014056179080959906,1.2712807999761564,0.20364574736327115,-0.00968216881585536,0.04542086998915701,Model 3
position_groupGK,-0.484729631197116,0.039287352286890474,-12.338058000382532,7.898969272169504e-35,-0.5617367782013528,-0.4077224841928791,Model 3
total_stats_z,-0.038610432314318474,0.015635136876812925,-2.469465577341901,0.01354102061112898,-0.06925686720542357,-0.007963997423213381,Model 3
shooting_z,0.06664337847204205,0.007980285527072504,8.351001758766591,7.271119642380333e-17,0.05100121922874487,0.08228553771533922,Model 3
passing_z,0.05124627410632847,0.007175144610989983,7.14219390475223,9.547989175139893e-13,0.03718227173222254,0.0653102764804344,Model 3
dribbling_z,0.34344257163365594,0.006532814435085153,52.57191598603539,0,0.3306376007646501,0.3562475425026618,Model 3
defending_z,0.1767286595103929,0.006987507406205494,25.292089043575537,1.2283669092393233e-138,0.16303244485857452,0.1904248741622113,Model 3
(Intercept),6.160288765925843,0.008816299713817708,698.7385826131657,0,6.143007934971485,6.177569596880201,Model 4
position_groupMidfield,-0.29913740853209675,0.008789264125690619,-34.034408825846036,7.325940683644745e-246,-0.3163652470243859,-0.2819095700398076,Model 4
position_groupDefense,0.015473288369164149,0.011910781070888563,1.29909938542845,0.19392702271773135,-0.0078730361549222,0.0388196128932505,Model 4
position_groupGK,-0.11680902444507936,0.033588521860452615,-3.4776470643863373,5.070699061057415e-4,-0.18264589332642428,-0.05097215556373444,Model 4
total_stats_z,0.11275880829211209,0.013381277611286501,8.426610041854683,3.832321847206442e-17,0.08653016318473628,0.1389874533994879,Model 4
shooting_z,0.09220306581892555,0.0068040295294128274,13.551244217907218,1.2664127867532942e-41,0.07886648608332908,0.10553964555452203,Model 4
passing_z,0.06425844169964838,0.006126448870304143,10.488693052041798,1.16119896289065e-25,0.052249987958866755,0.07626689544043,Model 4
dribbling_z,0.24624641116139198,0.005663175744962351,43.482035919587915,0,0.23514601917266054,0.2573468031501234,Model 4
defending_z,0.17532807332934278,0.005947369159911818,29.479937870872366,1.926586349414838e-186,0.1636706337671961,0.18698551289148946,Model 4
age_z,-0.19505290736539055,0.00259627655764919,-75.12793919843503,0,-0.2001418696012344,-0.1899639451295467,Model 4
reputation_z,0.09829412097770318,0.0024121399064777026,40.749759462018915,0,0.0935660850311969,0.10302215692420946,Model 4
